fecha,departamento,municipio,precipitacion_mm,demanda_municipio_est_gwh,demanda_predicha_gwh,error_absoluto
2026-01-01,Magdalena,Santa Marta,20.0,0.322239,0.35622690000000024,0.03398790000000024
2026-01-01,Meta,Meta,0.0,0.0,0.0,0.0
2026-01-01,Meta,Acacías,44.575,0.0,0.0,0.0
2026-01-01,Meta,Granada,44.575,0.030882,0.01992163341818811,0.01096036658181189
2026-01-01,Meta,Puerto López,44.575,0.0,0.0,0.0
2026-01-01,Meta,Villavicencio,44.575,6.399106,4.142707556666667,2.2563984433333326
2026-01-01,Nariño,Nariño,0.0,0.0,0.0,0.0
2026-01-01,Nariño,Ipiales,0.0,0.011562,0.009705600000000016,0.0018563999999999838
2026-01-01,Nariño,Pasto,0.0,0.081195,0.06805703333333352,0.013137966666666487
2026-01-01,Nariño,Tumaco,0.0,0.026706,0.022519561538461495,0.004186438461538506
2026-01-01,Nariño,Tuquerres,0.0,0.003083,0.0026001677777777866,0.00048283222222221317
2026-01-01,Norte de Santander,Norte de Santander,0.0,0.0,0.0,0.0
2026-01-01,Norte de Santander,Cucutá,0.0,0.0,0.0,0.0
2026-01-01,Norte de Santander,Ocaña,0.0,0.0,0.0,0.0
2026-01-01,Norte de Santander,Pamplona,0.0,0.001253,0.0015154239260415728,0.00026242392604157276
2026-01-01,Norte de Santander,Villa del Rosario,0.0,0.0,0.0,0.0
2026-01-01,Putumayo,Putumayo,0.0,0.0,0.0,0.0
2026-01-01,Putumayo,Mocoa,0.25,0.061208,0.07012998263227498,0.008921982632274977
2026-01-01,Putumayo,Orito,0.25,0.000225,0.0002595540784652683,3.455407846526831e-05
2026-01-01,Putumayo,Puerto Asís,0.25,0.0,0.0,0.0
2026-01-01,Quindío,Quindío,0.0,0.0,0.0,0.0
2026-01-01,Quindío,Armenia,9.7,0.062532,0.06987284999999979,0.007340849999999788
2026-01-01,Quindío,Calarcá,9.7,0.0,0.0,0.0
2026-01-01,Quindío,Montenegro,9.7,0.007899,0.008824983333333354,0.000925983333333354
2026-01-01,Quindío,Quimbaya,9.7,0.003931,0.004497159333333322,0.000566159333333322
2026-01-01,Risaralda,Risaralda,0.0,0.0,0.0,0.0
2026-01-01,Risaralda,Belén de Umbría,9.4,0.0,0.0,0.0
2026-01-01,Risaralda,Dosquebradas,9.4,0.0,0.0,0.0
2026-01-01,Risaralda,Pereira,9.4,0.2495,0.3243324099999994,0.0748324099999994
2026-01-01,Risaralda,Santa Rosa de Cabal,9.4,0.0,0.0,0.0
2026-01-01,Santander,Santander,0.0,0.0,0.0,0.0
2026-01-01,Sucre,Sucre,0.0,0.0,0.0,0.0
2026-01-01,Sucre,Corozal,10.0,0.022292,0.023026922202380885,0.0007349222023808853
2026-01-01,Sucre,San Marcos,10.0,0.005235,0.005441311269841286,0.0002063112698412863
2026-01-01,Sucre,Sincelejo,20.0,0.18268,0.18836238855555643,0.005682388555556417
2026-01-01,Sucre,Tolú,10.0,0.0,0.0,0.0
2026-01-01,Tolima,Tolima,0.0,0.0,0.0,0.0
2026-01-01,Tolima,Espinal,0.2,0.054,0.07070946130718979,0.01670946130718979
2026-01-01,Tolima,Honda,0.2,0.002036,0.0027168003333333224,0.0006808003333333224
2026-01-01,Tolima,Ibagué,0.2,0.0,0.0,0.0
2026-01-01,Tolima,Líbano,0.2,0.0,0.0,0.0
2026-01-01,Tolima,Melgar,0.2,0.027746,0.03597827305555546,0.008232273055555461
2026-01-01,Valle del Cauca,Valle del Cauca,0.0,0.0,0.0,0.0
2026-01-01,Valle del Cauca,Buenaventura,0.4,0.104117,0.11257471666666674,0.00845771666666674
2026-01-01,Valle del Cauca,Cali,0.4,1.684235,1.8132399800000034,0.1290049800000035
2026-01-01,Valle del Cauca,Cartago,0.4,0.110602,0.11827803333333332,0.007676033333333318
2026-01-01,Valle del Cauca,Palmira,0.4,0.693174,0.7353656699999982,0.04219166999999824
2026-01-01,Valle del Cauca,Tuluá,0.4,0.0,0.0,0.0
2026-01-12,Antioquia,Antioquia,0.0,0.0,0.0,0.0
2026-01-12,Arauca,Arauca,0.0,0.0,0.0,0.0
2026-01-12,Atlántico,Atlántico,0.0,0.0,0.0,0.0
2026-01-12,Bogotá,Bogotá,0.0,0.0,0.0,0.0
2026-01-12,Bogotá,Bogotá (municipio),0.0,0.0,0.0,0.0
2026-01-12,Bolívar,Bolívar,0.0,0.0,0.0,0.0
2026-01-12,Bolívar,Cartagena,0.0,0.0,0.0,0.0
2026-01-12,Bolívar,El Carmen de Bolívar,0.0,0.0,0.0,0.0
2026-01-12,Bolívar,Magangué,0.0,0.0,0.0,0.0
2026-01-12,Bolívar,Turbaco,0.0,0.0,0.0,0.0
2026-01-12,Boyacá,Boyacá,0.0,0.0,0.0,0.0
2026-01-12,Boyacá,Chiquinquira,4.5,0.019653,0.011310226837606843,0.008342773162393157
2026-01-12,Boyacá,Duitama,4.5,0.063491,0.03656552166666665,0.026925478333333357
2026-01-12,Boyacá,Puerto Boyacá,4.5,0.0,0.0,0.0
2026-01-12,Boyacá,Sogamoso,4.5,0.554106,0.3153437690903697,0.23876223090963028
2026-01-12,Caldas,Caldas,0.0,0.0,0.0,0.0
2026-01-12,Caldas,Chinchiná,11.35,0.0,0.0,0.0
2026-01-12,Caldas,La Dorada,11.35,0.020285,0.01873445909495404,0.0015505409050459613
2026-01-12,Caldas,Manizales,11.35,0.939841,0.8935382566666639,0.04630274333333617
2026-01-12,Caldas,Riosucio,11.35,0.0,0.0,0.0
2026-01-12,Caldas,Villamaría,11.35,0.0,0.0,0.0
2026-01-12,Caquetá,Caquetá,0.0,0.0,0.0,0.0
2026-01-12,Caquetá,Belén de los Andaquíes,0.0,0.0,0.0,0.0
2026-01-12,Caquetá,Florencia,0.0,0.007557,0.010909568871102785,0.0033525688711027847
