Caracteristica,Importancia
muni_code,0.7637807937026062
depto_code,0.18324721862819818
anio,0.02257551689802684
mes,0.013936472161029547
dia,0.008348038249518987
es_fin_semana,0.0032183008899885866
es_festivo,0.001637681973147704
precipitacion_mm_promedio_depto,0.001634956717788301
precipitacion_mm,0.001621020779695619
